id,left,top,right,bottom,_mean,Chlorideme,Fluorideme,Hardnessme,SARmean,Sulfatemea,TDSmean,WellDepthm,Joined lay,LR_prob_Y,NBC_prob_Y,LR_pred_Y,label_NBCpred
79,78015.3454,1201345.065,82843.3774,1196517.033,86.9726153,86.9726153,1.384280808,64.96475911,38.32634217,191.38227,829.7376806,845.6091169,0,,,,
80,78015.3454,1196517.033,82843.3774,1191689.001,87.28530951,87.28530951,1.388065026,64.70006988,38.44659151,191.905824,831.7799334,850.2406315,0,,,,
81,78015.3454,1191689.001,82843.3774,1186860.969,87.47022835,87.47022835,1.390454832,64.50949279,38.53256001,192.2351699,833.0688653,853.5787116,0,,,,
82,82843.3774,1211001.129,87671.4094,1206173.097,86.63661525,86.63661525,1.377715363,65.68761165,37.9832706,190.4491972,826.2009042,832.6991845,2.00E-01,,,,
83,82843.3774,1206173.097,87671.4094,1201345.065,86.84262143,86.84262143,1.37977188,65.61074523,38.01998459,190.7347453,827.3097206,834.0396789,0.200000003,,,,
84,82843.3774,1201345.065,87671.4094,1196517.033,87.12403713,87.12403713,1.383071342,65.4101819,38.11546676,191.1913893,829.0853298,837.5904858,0,,,,
85,82843.3774,1196517.033,87671.4094,1191689.001,87.43104905,87.43104905,1.386677703,65.18073209,38.22339499,191.684322,831.0232712,841.6441658,0,,,,
86,82843.3774,1191689.001,87671.4094,1186860.969,87.56953735,87.56953735,1.388910752,64.95521651,38.32781392,191.9930885,832.2250846,845.641292,0,,,,
87,87671.4094,1206173.097,92499.4414,1201345.065,87.04390224,87.04390224,1.380688889,65.74031761,37.95872186,190.8543731,827.8039813,831.6715242,0,,,,
88,87671.4094,1201345.065,92499.4414,1196517.033,87.30528288,87.30528288,1.382477615,65.80291027,37.93164506,191.0925392,828.7616911,830.5234522,0,,,,
89,87671.4094,1196517.033,92499.4414,1191689.001,87.54885754,87.54885754,1.38530406,65.63362496,38.01391765,191.4753014,830.2755179,833.5430969,0,,,,
90,92499.4414,1201345.065,97327.4734,1196517.033,87.43909145,87.43909145,1.382024208,66.10849801,37.79015108,191.0210824,828.5132288,825.0394404,0.200000003,,,,
91,92499.4414,1196517.033,97327.4734,1191689.001,87.63963464,87.63963464,1.384056344,66.03264724,37.82982665,191.2935428,829.5982168,826.4072802,0,,,,
92,-124761.9986,1056504.105,-119933.9666,1051676.073,54.49590112,54.49590112,0.909518416,113.7811896,18.31727216,170.3152728,657.6537084,325.6326504,1,,,,
93,-124761.9986,1051676.073,-119933.9666,1046848.041,53.37884898,53.37884898,0.919698266,112.2629456,18.70916031,177.0767542,670.4197893,336.923378,1,,,,
94,-124761.9986,1046848.041,-119933.9666,1042020.009,52.64971904,52.64971904,0.932064089,114.0064503,19.15051854,183.833811,684.3160823,343.6436123,1,,,,
95,-124761.9986,1042020.009,-119933.9666,1037191.977,52.90398402,52.90398402,0.963280407,121.4131099,19.97111482,195.0892539,709.7023109,348.662152,1,,,,
96,-124761.9986,1037191.977,-119933.9666,1032363.945,53.82730112,53.82730112,0.991729212,140.3486234,20.29460141,210.5466709,740.5330549,345.1694144,1,,,,
97,-124761.9986,1032363.945,-119933.9666,1027535.913,55.41656628,55.41656628,0.995007492,176.6935527,19.56164558,233.2799899,776.639797,330.6736122,0,,,,
98,-124761.9986,1027535.913,-119933.9666,1022707.881,57.31648413,57.31648413,0.989967436,212.2141075,18.84485285,255.7574544,813.3317167,318.3796791,1,,,,
99,-124761.9986,1022707.881,-119933.9666,1017879.849,58.72403959,58.72403959,1.054383808,200.2386322,20.94906541,252.6963648,832.7955992,336.0380848,0,,,,
100,-124761.9986,1017879.849,-119933.9666,1013051.817,60.41297502,60.41297502,1.126337357,175.8960513,23.62287973,245.8526128,842.4800172,361.5718026,0,,,,
101,-124761.9986,1013051.817,-119933.9666,1008223.785,63.38007335,63.38007335,1.202917749,148.6053171,26.51250292,240.5577082,851.3889626,393.5564306,1,,,,
102,-124761.9986,1008223.785,-119933.9666,1003395.753,66.3305267,66.3305267,1.263121223,129.1835315,28.66891892,237.9785873,860.8251591,419.2713672,1,,,,
103,-124761.9986,1003395.753,-119933.9666,998567.7206,69.02666623,69.02666623,1.314108619,114.7241279,30.44730218,237.0272938,871.8698138,439.6687909,1,,,,
104,-124761.9986,998567.7206,-119933.9666,993739.6886,72.20060958,72.20060958,1.360493469,102.8505637,31.88409941,236.3684763,882.5555134,458.9428811,1,,,,
105,-124761.9986,993739.6886,-119933.9666,988911.6566,74.79284707,74.79284707,1.391133012,96.97091754,32.63096246,236.8666821,890.8238881,471.6421676,0,,,,
106,-124761.9986,988911.6566,-119933.9666,984083.6246,77.92556517,77.92556517,1.427978883,91.73704791,33.4469611,238.9325932,903.1345167,485.1592294,1,,,,
107,-124761.9986,984083.6246,-119933.9666,979255.5926,79.7036452,79.7036452,1.44584652,89.9112322,33.740265,240.164076,909.109228,492.319254,0,,,,
108,-119933.9666,1099956.393,-115105.9346,1095128.361,62.7527382,62.7527382,0.802665763,152.9623848,18.05862604,130.182,575.5242292,265.765614,0,,,,
109,-119933.9666,1095128.361,-115105.9346,1090300.329,63.13800381,63.13800381,0.814345348,146.7318918,20.09005606,133.703435,592.4175951,290.3390311,1,,,,
110,-119933.9666,1066160.169,-115105.9346,1061332.137,59.34166503,59.34166503,0.852737431,139.7187852,15.76172196,144.6571628,608.1251198,275.7452982,1,,,,
111,-119933.9666,1061332.137,-115105.9346,1056504.105,56.7207493,56.7207493,0.85368966,128.1393591,16.44591619,151.0659802,619.2022973,288.9684492,1,,,,
112,-119933.9666,1056504.105,-115105.9346,1051676.073,52.7378216,52.7378216,0.861522804,114.4905488,17.00254361,163.30355,636.3590906,309.2397118,1,,,,
113,-119933.9666,1051676.073,-115105.9346,1046848.041,48.53640408,48.53640408,0.814753376,112.0267209,15.57263493,165.7550146,627.8574666,312.4253943,2,,,,
114,-119933.9666,1046848.041,-115105.9346,1042020.009,46.65074827,46.65074827,0.814136948,113.4314212,15.77160875,170.9704707,636.9784083,321.8064978,1,,,,
115,-119933.9666,1042020.009,-115105.9346,1037191.977,48.06921075,48.06921075,0.890585727,118.0260386,18.15219807,188.5342296,682.4787018,334.0512997,1,,,,
116,-119933.9666,1037191.977,-115105.9346,1032363.945,49.46340614,49.46340614,0.939988671,141.2493959,18.70581185,206.6637082,720.3848585,326.9534268,1,,,,
117,-119933.9666,1032363.945,-115105.9346,1027535.913,51.83104133,51.83104133,0.902506867,213.7604957,15.59183657,242.8974664,759.5453798,286.0416484,0,,,,
118,-119933.9666,1027535.913,-115105.9346,1022707.881,61.17818815,61.17818815,0.787229658,358.4603356,11.24017625,342.5003179,884.3853961,239.6008008,0.800000012,1.79E-05,1.82E-05,0,0
119,-119933.9666,1022707.881,-115105.9346,1017879.849,57.12164957,57.12164957,0.98209532,253.868369,17.73483519,272.8558773,858.8107522,296.9966002,0.800000012,,,,
120,-119933.9666,1017879.849,-115105.9346,1013051.817,58.72165279,58.72165279,1.106694219,196.5453618,22.76192782,253.4318427,857.7001862,342.7351085,0.800000012,,,,
121,-119933.9666,1013051.817,-115105.9346,1008223.785,62.08946032,62.08946032,1.204504936,155.2733008,26.78271618,245.3861469,863.1011877,385.3764475,0,,,,
122,-119933.9666,1008223.785,-115105.9346,1003395.753,65.70073555,65.70073555,1.281779346,127.5648185,29.67202805,241.5133313,873.1654759,419.0708867,1,,,,
123,-119933.9666,1003395.753,-115105.9346,998567.7206,68.75967527,68.75967527,1.338195033,108.3652798,31.77129941,238.5748098,882.7909492,442.9759281,1,,,,
124,-119933.9666,998567.7206,-115105.9346,993739.6886,71.58162562,71.58162562,1.37896224,95.79209675,33.20468532,236.7594009,891.5877385,459.8404861,0,,,,
125,-119933.9666,993739.6886,-115105.9346,988911.6566,75.21476267,75.21476267,1.418167991,89.45536696,34.01605754,238.2297771,903.360991,474.8883408,1,,,,
126,-119933.9666,988911.6566,-115105.9346,984083.6246,79.21658701,79.21658701,1.454885371,87.1228954,34.38609916,241.5203876,915.7498456,489.2727372,1,,,,
127,-119933.9666,984083.6246,-115105.9346,979255.5926,82.53997334,82.53997334,1.483008771,85.98751938,34.59606009,244.172052,925.2278149,501.5284183,1,,,,
