,Unnamed: 0,StateWellNumber,StateWel_1,LatitudeDD,Dlat,Mlat,Slat,LongitudeD,Dlong,Mlong,Slong,TDS_mg/L,WellDepth,SAR,Hardness_mg/L,Calcium_mg/L,Magnesium_mg/L,Sulfate_mg/L,Chloride_mg/L,Fluoride_mg/L,pH,Texture_SSURGO,Texture_Num,Clay_SSURGO,SAR_SSURGO,EC_SSURGO,label,ppt
169,169,3215609,3215609,32.831111,32,49,52.0,-97.128055,97,7,41.0,253.0,42,0.96,127.0,35.0,9.7,19.0,56.0,0.2,5.8,Loam,4,9.5,1,1.0,0,967.4035645
170,170,3223310,3223310,32.713889,32,42,50.0,-97.143611,97,8,37.0,157.0,160,0.89,86.0,28.0,4.0,30.0,16.0,0.4,7.2,Loam,4,9.5,1,1.0,0,976.7788696
171,171,3224117,3224117,32.709167,32,42,33.0,-97.112501,97,6,45.0,497.6666667,225,6.386666667,94.33333333,26.0,9.3,120.0,46.0,0.35,7.623333333,Loam,4,9.5,1,1.0,0,976.7788696
172,172,3231203,3231203,32.608056,32,36,29.0,-97.18,97,10,48.0,408.0,50,1.44,246.0,84.0,9.0,34.0,82.0,0.3,8.3,Loam,4,9.5,1,1.0,0,962.0147705
173,173,3231310,3231310,32.618611,32,37,7.0,-97.156945,97,9,25.0,247.0,210,4.75,49.0,15.0,3.0,16.0,18.0,0.7,8.0,Loam,4,9.5,1,1.0,0,962.0147705
174,174,3231311,3231311,32.619167,32,37,9.0,-97.156112,97,9,22.0,351.0,70,0.83,249.0,87.0,8.0,10.0,72.0,0.3,7.1,Loam,4,9.5,1,1.0,0,962.0147705
175,175,3301502,3301502,32.916944,32,55,1.0,-96.927778,96,55,40.0,1711.0,550,63.73,19.0,6.0,1.0,470.0,218.0,4.4,7.8,Fine sandy loam,8,8.5,0,1.0,1,995.6931763
176,176,3309301,3309301,32.873055,32,52,23.0,-96.905278,96,54,19.0,1058.5,490,39.865,49.0,16.5,2.0,281.5,145.0,2.7,7.9,Fine sandy loam,8,8.5,0,1.0,1,997.4366455
177,177,3326602,3326602,32.573333,32,34,24.0,-96.773333,96,46,24.0,1477.0,1121,68.97,11.0,3.0,1.0,500.0,94.0,2.7,8.5,Silty clay,2,45.0,0,0.899999976,1,1014.128296
178,178,3231801,3231801,32.504445,32,30,16.0,-97.188334,97,11,18.0,596.0,217,4.54,190.0,50.0,16.0,152.0,90.0,0.5,6.8,Silty clay,2,50.0,7,0.800000012,0,955.9160767
179,179,3231802,3231802,32.504723,32,30,17.0,-97.189445,97,11,22.0,579.5,240,7.735,120.0,34.0,8.7,180.25,37.0,0.85,7.95,Silty clay,2,50.0,7,0.800000012,0,955.9160767
180,180,3231901,3231901,32.505556,32,30,20.0,-97.144445,97,8,40.0,455.0,220,6.13,90.0,24.0,7.4,104.0,20.0,0.6,7.8,Silty clay,2,50.0,7,0.800000012,0,962.4301758
181,181,3239107,3239107,32.482222,32,28,56.0,-97.209445,97,12,34.0,513.25,309,3.645,192.0,48.33333333,16.66666667,136.6666667,44.66666667,0.49,7.9425,Silty clay,2,50.0,7,0.800000012,0,955.9160767
182,182,3239205,3239205,32.498611,32,29,55.0,-97.180278,97,10,49.0,625.0,309,24.88,16.0,5.0,1.0,164.0,32.0,0.9,8.5,Silty clay,2,50.0,7,0.800000012,0,959.1779785
183,183,3239602,3239602,32.421389,32,25,17.0,-97.155278,97,9,19.0,583.0,250,5.01,162.5,36.5,17.5,184.0,21.0,0.4,7.8,Silty clay,2,50.0,7,0.800000012,0,961.739502
184,184,3239901,3239901,32.3855556,32,23,8.0,-97.1575,97,9,27.0,566.5,220,7.115,104.5,25.5,10.0,159.0,29.5,0.45,8.0,Silty clay,2,50.0,7,0.800000012,0,968.5531616
185,185,3240410,3240410,32.418055,32,25,5.0,-97.096111,97,5,46.0,638.0,395,23.3,19.0,6.0,1.0,198.0,18.0,0.4,8.4,Silty clay,2,50.0,7,0.800000012,0,960.692688
